date,week,time,weather,station_id,station_name,common_name,species_code,count,distance_band,notes
2026-09-12,1,6:10,clear,S02,Boardwalk,American Crow,AMCR,5,0-25,
2026-09-12,1,6:10,clear,S02,Boardwalk,American Crow,AMCR,2,25-50,
2026-09-12,1,6:10,clear,S02,Boardwalk,Ring-billed Gull,RBGU,2,25-50,
2026-09-12,1,6:10,clear,S02,Boardwalk,Ring-billed Gull,RBGU,15,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,American Crow,AMCR,20,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Fish Crow,FICR,6,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Laughing Gull,LAGU,2,50-100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Great Black-backed Gull,GBBG,4,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Double-crested Cormorant,DCCO,60,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,American Oystercatcher,AMOY,2,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Semipalmated Plover,SEPL,2,>100,
2026-09-12,1,6:10,clear,S02,Boardwalk,Gray Catbird,GRCA,2,25-50,
2026-09-12,1,6:10,clear,S02,Boardwalk,Blue Jay,BLJA,2,50-100,
2026-09-12,1,6:10,clear,S02,Boardwalk,American Robin,AMRO,1,25-50,
2026-09-12,1,6:10,clear,S02,Boardwalk,White-breasted Nuthatch,WBNU,1,50-100,
2026-09-12,1,6:10,clear,S02,Boardwalk,American Goldfinch,AMGO,1,50-100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Gray Catbird,GRCA,4,0-25,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Gray Catbird,GRCA,6,25-50,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Gray Catbird,GRCA,2,50-100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Northern Cardinal,NOCA,1,0-25,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Green Heron,GRHE,1,25-50,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Carolina Wren,CARW,1,50-100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Eastern Phoebe,EAPH,1,50-100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Northern Cardinal,NOCA,2,25-50,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Blue Jay,BLJA,1,>100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,American Crow,AMCR,4,>100,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Downy Woodpecker,DOWO,1,25-50,
2026-09-12,1,6:40,clear,S03,Night Heron Pond,Song Sparrow,SOSP,2,50-100,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Gray Catbird,GRCA,6,0-25,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Gray Catbird,GRCA,4,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Gray Catbird,GRCA,2,50-100,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Blue Jay,BLJA,1,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Black-capped Chickadee,BCCH,1,0-25,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Black-capped Chickadee,BCCH,3,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Cedar Waxwing,CEDW,2,50-100,
2026-09-12,1,7:03,clear,S04,Spruce Forest,American Crow,AMCR,1,0-25,
2026-09-12,1,7:03,clear,S04,Spruce Forest,American Crow,AMCR,4,>100,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Downy Woodpecker,DOWO,1,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Northern Cardinal,NOCA,2,0-25,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Northern Cardinal,NOCA,1,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Tufted Titmouse,TUTI,1,0-25,
2026-09-12,1,7:03,clear,S04,Spruce Forest,American Goldfinch,AMGO,1,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,American Robin,AMRO,1,25-50,
2026-09-12,1,7:03,clear,S04,Spruce Forest,Carolina Wren,CARW,1,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Gray Catbird,GRCA,4,0-25,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Gray Catbird,GRCA,1,25-50,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Gray Catbird,GRCA,2,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Gray Catbird,GRCA,4,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Northern Cardinal,NOCA,1,0-25,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Northern Cardinal,NOCA,1,25-50,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Northern Cardinal,NOCA,3,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Carolina Wren,CARW,1,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Blue Jay,BLJA,1,25-50,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,White-breasted Nuthatch,WBNU,1,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,American Goldfinch,AMGO,1,0-25,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,American Robin,AMRO,1,50-100,
2026-09-12,1,7:20,clear,S05,Tupelo Forest,Northern Flicker,NOFL,1,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,American Robin,AMRO,4,0-25,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Gray Catbird,GRCA,4,0-25,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,American Robin,AMRO,4,25-50,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,American Robin,AMRO,3,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,American Robin,AMRO,5,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Gray Catbird,GRCA,2,25-50,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Gray Catbird,GRCA,1,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Gray Catbird,GRCA,2,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Northern Cardinal,NOCA,1,0-25,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,American Crow,AMCR,1,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Song Sparrow,SOSP,1,25-50,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Song Sparrow,SOSP,1,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Blue Jay,BLJA,3,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Cedar Waxwing,CEDW,2,0-25,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Red-winged Blackbird,RWBL,2,50-100,
2026-09-12,1,7:36,clear,S06,Bone Hill Meadow,Northern Flicker,NOFL,1,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Gray Catbird,GRCA,12,0-25,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Gray Catbird,GRCA,4,25-50,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Northern Flicker,NOFL,1,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Downy Woodpecker,DOWO,1,50-100,
2026-09-12,1,7:55,clear,S07,Buttonbush Swamp,Tufted Titmouse,TUTI,1,0-25,
